day,margin
-155,0.01999999999999998
-153,0.02999999999999997
-152,0.065
-151,0.06
-150,0.07
-149,0.04999999999999999
-147,0.035
-146,0.06
-145,0.026666666666666655
-144,0.030000000000000027
-143,0.03999999999999998
-142,0.06
-141,0.03666666666666666
-140,0.034999999999999976
-139,0.08999999999999998
-138,0.12
-137,0.04500000000000001
-135,0.03999999999999998
-134,0.01999999999999998
-131,0.06
-128,0.04999999999999999
-127,0.03999999999999998
-126,0.02999999999999997
-125,0.06
-124,0.065
-120,0.032500000000000015
-119,0.05499999999999999
-118,0.04999999999999999
-117,0.03
-116,0.009999999999999953
-114,0.02999999999999997
-113,0
-112,0.04999999999999999
-111,0.020000000000000018
-110,0.019999999999999962
-109,0.06
-108,0.030000000000000027
-107,0.019999999999999962
-106,0.06
-105,0.04
-104,0.05499999999999999
-102,0.05333333333333332
-101,0.009999999999999953
-100,0.07
-99,0.06333333333333334
-98,0.009999999999999953
-96,0.03333333333333335
-95,0.04000000000000001
-93,0.020000000000000018
-92,0.02999999999999997
-90,0.04999999999999999
-89,0.019999999999999962
-87,0.04999999999999999
-86,0.0050000000000000044
-85,0.009999999999999953
-84,0.023333333333333334
-83,0.010000000000000009
-82,-0.050000000000000044
-81,0.027500000000000024
-80,0.019999999999999962
-78,0.02
-77,0.026666666666666634
-75,0.014999999999999986
-74,0.02999999999999997
-73,0.010000000000000009
-72,0.010000000000000009
-71,0.024999999999999994
-69,0.060000000000000026
-68,0.02999999999999997
-67,0.039999999999999994
-66,0.06
-64,0.03749999999999999
-63,0.043333333333333314
-61,-0.02999999999999997
-60,-0.028749999999999998
-59,-0.0033333333333333734
-58,-0.013333333333333345
-57,-0.006000000000000005
-56,0
-55,-0.012499999999999983
-54,0.01166666666666664
-53,0.034999999999999976
-52,3.700743415417188e-17
-51,0.013333333333333327
-50,-0.010000000000000009
-49,0.03
-48,0.04500000000000001
-47,0
-46,0.049999999999999996
-45,0.026666666666666655
-44,0.04999999999999999
-43,0.033333333333333326
-42,0.026666666666666655
-40,0.04999999999999999
-39,0.052000000000000005
-38,0.05833333333333333
-37,0.044999999999999984
-36,0.09
-34,0.0625
-33,0.07499999999999998
-32,0.04749999999999999
-31,0.04800000000000001
-30,0.08000000000000002
-29,0.04999999999999999
-28,0.08333333333333336
-27,0.09500000000000001
-26,0.07999999999999999
-25,0.08
-24,0.0675
-23,0.050000000000000044
-22,0.057499999999999996
-21,0.07
-20,0.044999999999999984
-19,0.07166666666666667
-18,0.061666666666666675
-17,0.07250000000000001
-16,0.08750000000000001
-15,0.07166666666666667
-14,0.09000000000000002
-13,0.07400000000000001
-12,0.1
-10,0.07
-9,0.05666666666666668
-8,0.044999999999999984
-7,0.065
-6,0.0625
-5,0.07600000000000001
-4,0.09000000000000002
-3,0.07
-2,0.07
-1,0.09000000000000002
